tau,accuracy_pct,avg_tokens,token_savings_pct,consultation_trigger_rate_pct,avg_geval_score,avg_latency_s,early_exit_rate_pct
0.45,83.8,1649,68.52,35.8,0.4917,2.23,20.11
0.5,86.4,1848,64.7,43.0,0.5179,2.44,27.44
0.55,85.6,1985,62.08,46.0,0.5267,2.59,23.91
0.6,89.8,2050,60.84,48.8,0.5425,2.66,27.05
0.65,87.8,2239,57.23,54.6,0.5678,2.88,29.3
0.7,87.8,2607,50.19,65.6,0.6086,3.28,31.1
0.74,86.8,3032,42.05,78.2,0.657,3.74,28.39
0.78,86.2,3463,33.72,90.6,0.7059,4.21,29.8
0.82,80.4,3613,30.85,97.2,0.7299,4.38,35.19
0.86,81.6,3703,29.14,99.6,0.7371,4.48,33.94
0.9,81.2,3726,28.61,100.0,0.7386,4.5,33.2
